Epoch: [0][350/9202]	Time 75.967 (39.687)	Data 75.760 (39.494)	Loss 0.7605 (0.6867)	Prec@1 62.500 (66.275)	Prec@5 62.500 (66.275)	
Epoch: [0][360/9202]	Time 78.052 (40.724)	Data 77.847 (40.531)	Loss 0.2482 (0.6840)	Prec@1 100.000 (66.205)	Prec@5 100.000 (66.205)	
Epoch: [0][370/9202]	Time 80.136 (41.761)	Data 79.929 (41.568)	Loss 1.4479 (0.6817)	Prec@1 25.000 (66.307)	Prec@5 25.000 (66.307)	
Epoch: [0][380/9202]	Time 82.221 (42.799)	Data 82.015 (42.606)	Loss 0.5697 (0.6785)	Prec@1 87.500 (66.470)	Prec@5 87.500 (66.470)	
Epoch: [0][390/9202]	Time 84.304 (43.836)	Data 84.097 (43.643)	Loss 0.4381 (0.6739)	Prec@1 75.000 (66.592)	Prec@5 75.000 (66.592)	
Epoch: [0][400/9202]	Time 86.389 (44.874)	Data 86.183 (44.681)	Loss 0.4595 (0.6702)	Prec@1 75.000 (66.584)	Prec@5 75.000 (66.584)	
Epoch: [0][410/9202]	Time 88.473 (45.912)	Data 88.267 (45.719)	Loss 0.5220 (0.6673)	Prec@1 75.000 (66.575)	Prec@5 75.000 (66.575)	
Epoch: [0][420/9202]	Time 90.557 (46.950)	Data 90.350 (46.758)	Loss 0.8482 (0.6637)	Prec@1 62.500 (66.686)	Prec@5 62.500 (66.686)	
Epoch: [0][430/9202]	Time 92.644 (47.989)	Data 92.438 (47.796)	Loss 0.3231 (0.6593)	Prec@1 87.500 (66.966)	Prec@5 87.500 (66.966)	
Epoch: [0][440/9202]	Time 94.731 (49.027)	Data 94.525 (48.835)	Loss 0.3487 (0.6558)	Prec@1 87.500 (67.177)	Prec@5 87.500 (67.177)	
Epoch: [0][450/9202]	Time 96.819 (50.066)	Data 96.612 (49.874)	Loss 0.6754 (0.6570)	Prec@1 50.000 (67.018)	Prec@5 50.000 (67.018)	
Epoch: [0][460/9202]	Time 98.906 (51.105)	Data 98.699 (50.913)	Loss 0.4563 (0.6566)	Prec@1 87.500 (67.001)	Prec@5 87.500 (67.001)	
Epoch: [0][470/9202]	Time 101.117 (52.146)	Data 100.879 (51.953)	Loss 0.5093 (0.6547)	Prec@1 62.500 (66.906)	Prec@5 62.500 (66.906)	
Epoch: [0][480/9202]	Time 103.667 (53.193)	Data 103.385 (52.999)	Loss 0.5313 (0.6516)	Prec@1 62.500 (67.022)	Prec@5 62.500 (67.022)	
Epoch: [0][490/9202]	Time 106.145 (54.251)	Data 105.937 (54.057)	Loss 0.8356 (0.6497)	Prec@1 75.000 (67.057)	Prec@5 75.000 (67.057)	
Epoch: [0][500/9202]	Time 108.254 (55.310)	Data 108.044 (55.115)	Loss 0.5735 (0.6468)	Prec@1 75.000 (67.265)	Prec@5 75.000 (67.265)	
Epoch: [0][510/9202]	Time 110.464 (56.369)	Data 110.161 (56.174)	Loss 0.5223 (0.6442)	Prec@1 75.000 (67.343)	Prec@5 75.000 (67.343)	
Epoch: [0][520/9202]	Time 112.739 (57.432)	Data 112.528 (57.238)	Loss 0.7660 (0.6413)	Prec@1 62.500 (67.418)	Prec@5 62.500 (67.418)	
Epoch: [0][530/9202]	Time 114.881 (58.496)	Data 114.669 (58.301)	Loss 0.8306 (0.6402)	Prec@1 50.000 (67.444)	Prec@5 50.000 (67.444)	
Epoch: [0][540/9202]	Time 117.040 (59.560)	Data 116.790 (59.365)	Loss 0.7755 (0.6380)	Prec@1 75.000 (67.537)	Prec@5 75.000 (67.537)	
Epoch: [0][550/9202]	Time 119.357 (60.627)	Data 119.150 (60.432)	Loss 0.5130 (0.6349)	Prec@1 62.500 (67.786)	Prec@5 62.500 (67.786)	
Epoch: [0][560/9202]	Time 121.698 (61.697)	Data 121.405 (61.501)	Loss 0.6860 (0.6338)	Prec@1 62.500 (67.825)	Prec@5 62.500 (67.825)	
Epoch: [0][570/9202]	Time 124.423 (62.775)	Data 124.187 (62.579)	Loss 0.5812 (0.6324)	Prec@1 50.000 (67.820)	Prec@5 50.000 (67.820)	
Epoch: [0][580/9202]	Time 126.905 (63.860)	Data 126.666 (63.663)	Loss 0.5430 (0.6317)	Prec@1 87.500 (67.707)	Prec@5 87.500 (67.707)	
Epoch: [0][590/9202]	Time 129.293 (64.949)	Data 129.083 (64.752)	Loss 0.4476 (0.6314)	Prec@1 75.000 (67.703)	Prec@5 75.000 (67.703)	
Epoch: [0][600/9202]	Time 131.658 (66.042)	Data 131.449 (65.844)	Loss 0.5234 (0.6294)	Prec@1 62.500 (67.720)	Prec@5 62.500 (67.720)	
Epoch: [0][610/9202]	Time 134.038 (67.136)	Data 133.821 (66.939)	Loss 2.1876 (0.6301)	Prec@1 37.500 (67.737)	Prec@5 37.500 (67.737)	
Epoch: [0][620/9202]	Time 136.248 (68.233)	Data 136.035 (68.035)	Loss 0.6654 (0.6294)	Prec@1 75.000 (67.754)	Prec@5 75.000 (67.754)	
Epoch: [0][630/9202]	Time 138.550 (69.332)	Data 138.343 (69.133)	Loss 0.5005 (0.6291)	Prec@1 62.500 (67.789)	Prec@5 62.500 (67.789)	
Epoch: [0][640/9202]	Time 140.647 (70.429)	Data 140.441 (70.231)	Loss 0.3902 (0.6269)	Prec@1 87.500 (67.980)	Prec@5 87.500 (67.980)	
