Epoch: [1][90/178]	Time 5.458 (3.576)	Data 5.439 (3.556)	Loss 0.5739 (0.4143)	Prec@1 87.500 (83.242)	Prec@5 87.500 (83.242)	
Epoch: [1][90/178]	Time 5.458 (3.576)	Data 5.439 (3.556)	Loss 0.5739 (0.4143)	Prec@1 87.500 (83.242)	Prec@5 87.500 (83.242)	
Epoch: [1][100/178]	Time 5.867 (3.785)	Data 5.848 (3.764)	Loss 0.6644 (0.4189)	Prec@1 75.000 (82.921)	Prec@5 75.000 (82.921)	
Epoch: [1][100/178]	Time 5.867 (3.785)	Data 5.848 (3.764)	Loss 0.6644 (0.4189)	Prec@1 75.000 (82.921)	Prec@5 75.000 (82.921)	
Epoch: [1][110/178]	Time 6.277 (3.992)	Data 6.259 (3.972)	Loss 0.6447 (0.4124)	Prec@1 62.500 (82.883)	Prec@5 62.500 (82.883)	
Epoch: [1][110/178]	Time 6.277 (3.992)	Data 6.259 (3.972)	Loss 0.6447 (0.4124)	Prec@1 62.500 (82.883)	Prec@5 62.500 (82.883)	
Epoch: [1][120/178]	Time 6.695 (4.201)	Data 6.676 (4.180)	Loss 0.2790 (0.4103)	Prec@1 87.500 (82.748)	Prec@5 87.500 (82.748)	
Epoch: [1][120/178]	Time 6.695 (4.201)	Data 6.676 (4.180)	Loss 0.2790 (0.4103)	Prec@1 87.500 (82.748)	Prec@5 87.500 (82.748)	
Epoch: [1][130/178]	Time 7.121 (4.409)	Data 7.101 (4.388)	Loss 0.2964 (0.3989)	Prec@1 87.500 (83.492)	Prec@5 87.500 (83.492)	
Epoch: [1][130/178]	Time 7.121 (4.409)	Data 7.101 (4.388)	Loss 0.2964 (0.3989)	Prec@1 87.500 (83.492)	Prec@5 87.500 (83.492)	
Epoch: [1][140/178]	Time 7.559 (4.619)	Data 7.540 (4.598)	Loss 0.2321 (0.3949)	Prec@1 87.500 (83.422)	Prec@5 87.500 (83.422)	
Epoch: [1][140/178]	Time 7.559 (4.619)	Data 7.540 (4.598)	Loss 0.2321 (0.3949)	Prec@1 87.500 (83.422)	Prec@5 87.500 (83.422)	
