Epoch: [0][0/178]	Time 2.831 (2.831)	Data 1.560 (1.560)	Loss 1.6070 (1.6070)	Prec@1 25.000 (25.000)	Prec@5 25.000 (25.000)	
Epoch: [0][10/178]	Time 3.293 (3.075)	Data 3.252 (2.921)	Loss 1.5532 (1.5699)	Prec@1 50.000 (47.727)	Prec@5 50.000 (47.727)	
Epoch: [0][20/178]	Time 3.716 (3.290)	Data 3.675 (3.191)	Loss 1.5137 (1.5503)	Prec@1 50.000 (50.595)	Prec@5 50.000 (50.595)	
Epoch: [0][30/178]	Time 4.139 (3.503)	Data 4.098 (3.423)	Loss 1.4495 (1.5283)	Prec@1 62.500 (51.613)	Prec@5 62.500 (51.613)	
Epoch: [0][40/178]	Time 4.561 (3.715)	Data 4.520 (3.645)	Loss 1.3716 (1.5027)	Prec@1 62.500 (49.390)	Prec@5 62.500 (49.390)	
Epoch: [0][50/178]	Time 4.992 (3.928)	Data 4.952 (3.864)	Loss 1.1335 (1.4591)	Prec@1 62.500 (49.755)	Prec@5 62.500 (49.755)	
Epoch: [0][60/178]	Time 5.419 (4.141)	Data 5.377 (4.081)	Loss 0.7980 (1.3793)	Prec@1 50.000 (49.590)	Prec@5 50.000 (49.590)	
Epoch: [0][70/178]	Time 5.850 (4.354)	Data 5.821 (4.298)	Loss 0.6704 (1.2879)	Prec@1 62.500 (49.648)	Prec@5 62.500 (49.648)	
Epoch: [0][80/178]	Time 6.277 (4.568)	Data 6.236 (4.514)	Loss 1.1134 (1.2235)	Prec@1 37.500 (50.309)	Prec@5 37.500 (50.309)	
Epoch: [0][90/178]	Time 6.709 (4.782)	Data 6.667 (4.730)	Loss 0.7502 (1.1687)	Prec@1 37.500 (50.137)	Prec@5 37.500 (50.137)	
Epoch: [0][100/178]	Time 7.140 (4.997)	Data 7.099 (4.946)	Loss 0.7112 (1.1270)	Prec@1 25.000 (48.886)	Prec@5 25.000 (48.886)	
Epoch: [0][110/178]	Time 7.566 (5.211)	Data 7.524 (5.161)	Loss 0.7057 (1.0894)	Prec@1 50.000 (48.874)	Prec@5 50.000 (48.874)	
Epoch: [0][120/178]	Time 7.998 (5.425)	Data 7.954 (5.376)	Loss 0.6184 (1.0596)	Prec@1 75.000 (49.174)	Prec@5 75.000 (49.174)	
Epoch: [0][130/178]	Time 8.431 (5.640)	Data 8.389 (5.592)	Loss 0.7132 (1.0383)	Prec@1 50.000 (48.855)	Prec@5 50.000 (48.855)	
Epoch: [0][140/178]	Time 8.858 (5.855)	Data 8.816 (5.807)	Loss 0.7538 (1.0160)	Prec@1 37.500 (49.025)	Prec@5 37.500 (49.025)	
Epoch: [0][150/178]	Time 9.290 (6.069)	Data 9.248 (6.022)	Loss 0.7456 (0.9962)	Prec@1 50.000 (49.338)	Prec@5 50.000 (49.338)	
Epoch: [0][160/178]	Time 9.723 (6.284)	Data 9.682 (6.238)	Loss 0.7293 (0.9790)	Prec@1 50.000 (49.457)	Prec@5 50.000 (49.457)	
Epoch: [0][170/178]	Time 10.155 (6.499)	Data 10.110 (6.453)	Loss 0.9106 (0.9647)	Prec@1 37.500 (49.561)	Prec@5 37.500 (49.561)	
Epoch: [1][0/178]	Time 1.738 (1.738)	Data 1.718 (1.718)	Loss 0.7029 (0.7029)	Prec@1 37.500 (37.500)	Prec@5 37.500 (37.500)	
Epoch: [1][0/178]	Time 1.738 (1.738)	Data 1.718 (1.718)	Loss 0.7029 (0.7029)	Prec@1 37.500 (37.500)	Prec@5 37.500 (37.500)	
Epoch: [1][10/178]	Time 2.236 (2.006)	Data 2.194 (1.964)	Loss 0.6898 (0.7014)	Prec@1 75.000 (45.455)	Prec@5 75.000 (45.455)	
Epoch: [1][10/178]	Time 2.236 (2.006)	Data 2.194 (1.964)	Loss 0.6898 (0.7014)	Prec@1 75.000 (45.455)	Prec@5 75.000 (45.455)	
